A origem das especies,Charles Darwin, 1859,9781481958813
Depois de você, Jojo Moyes,2016,9788580578645
Herobrine - A Lenda,Pac e Mike,2016,9788581303437
Uma Aprendizagem ou O Livro dos Prazeres, Clarice Lispector, 1969, 9789727085330
Harry Potter e o Prisioneiro de Azkaban,J. K. Rowling, 1999,9780747560777
Senhor dos aneis: o retorno do rei,J. R. R. Tolkien,1955,9780884833642
A hora da estrela,Clarice Lispector,1977,9780586086926
Tieta do agreste,Jorge Amado,1977,9789721021945
Entrevista com o vampiro, Anne Rice, 1996, 9780345337665
Frankenstein,Mary Shelley,1818,9781608438037
Vigiar e punir,Michel Foucault,1975,9787108017949
A fundacao,Isaac Asimov,1951,9780553900347
Dom casmurro,Machado de Assis,1899,9788508125975
Os irmaos karamazov,Fiodor Dostoievski,1880,9788422503552
Morangos mofados,Caio Fernando Abreu,1982,9788522006465
O pequeno príncipe,Antoine de Saint-Exupery,1943,9781463704346
Cem anos de solidao,Gabriel Garcia Marquez,1967,9785267006323
A coroa,Kiera Cass,2016,9788555340048
Como eu era antes de voce,Jojo Moyes,2013,9788580573299
Orlando,Virginia Woolf,1928,9780143566458
Razao e sensibilidade,Jane Austen,1811,9788499080291